candidate_id,rank,score,reasoning
CAND_0000031,1,0.9900,Recommendation Systems Engineer with 6.0 yrs; 13 AI core skills; response rate 0.91.
CAND_0000001,2,0.3152,Backend Engineer with 6.9 yrs; 12 AI core skills; response rate 0.34.
CAND_0000010,3,0.2810,Data Engineer with 4.6 yrs; 6 AI core skills; response rate 0.40.
CAND_0000043,4,0.2759,Cloud Engineer with 8.3 yrs; 11 AI core skills; response rate 0.04.
CAND_0000011,5,0.2685,QA Engineer with 2.0 yrs; 2 AI core skills; response rate 0.56.
CAND_0000023,6,0.2665,Software Engineer with 3.7 yrs; 0 AI core skills; response rate 0.57.
CAND_0000035,7,0.2660,Full Stack Developer with 4.3 yrs; 6 AI core skills; response rate 0.34.
CAND_0000044,8,0.2636,Frontend Engineer with 5.7 yrs; 3 AI core skills; response rate 0.66.
CAND_0000015,9,0.2613,Software Engineer with 5.4 yrs; 4 AI core skills; response rate 0.32.
CAND_0000027,10,0.2500,DevOps Engineer with 3.9 yrs; 5 AI core skills; response rate 0.58.
CAND_0000014,11,0.2486,Frontend Engineer with 8.4 yrs; 4 AI core skills; response rate 0.80.
CAND_0000038,12,0.2479,Java Developer with 6.7 yrs; 2 AI core skills; response rate 0.20.
CAND_0000025,13,0.2473,Frontend Engineer with 7.3 yrs; 2 AI core skills; response rate 0.74.
CAND_0000032,14,0.2459,.NET Developer with 8.1 yrs; 4 AI core skills; response rate 0.69.
CAND_0000050,15,0.2442,Business Analyst with 13.5 yrs; 2 AI core skills; response rate 0.42.
CAND_0000006,16,0.2389,Business Analyst with 6.0 yrs; 1 AI core skills; response rate 0.12.
CAND_0000048,17,0.2388,Mobile Developer with 9.7 yrs; 0 AI core skills; response rate 0.65.
CAND_0000037,18,0.2361,Business Analyst with 14.3 yrs; 3 AI core skills; response rate 0.78.
CAND_0000029,19,0.2269,Business Analyst with 7.2 yrs; 0 AI core skills; response rate 0.12.
CAND_0000018,20,0.2263,Frontend Engineer with 6.6 yrs; 0 AI core skills; response rate 0.16.
CAND_0000034,21,0.2244,Business Analyst with 14.5 yrs; 0 AI core skills; response rate 0.15.
CAND_0000021,22,0.2234,Project Manager with 14.5 yrs; 8 AI core skills; response rate 0.49.
CAND_0000007,23,0.2192,Civil Engineer with 5.5 yrs; 2 AI core skills; response rate 0.62.
CAND_0000022,24,0.2175,Mechanical Engineer with 1.1 yrs; 1 AI core skills; response rate 0.27.
CAND_0000049,25,0.2166,Mechanical Engineer with 11.8 yrs; 1 AI core skills; response rate 0.59.
CAND_0000046,26,0.2156,Mechanical Engineer with 7.8 yrs; 0 AI core skills; response rate 0.41.
CAND_0000030,27,0.2144,Marketing Manager with 10.0 yrs; 1 AI core skills; response rate 0.66.
CAND_0000041,28,0.2140,Operations Manager with 13.7 yrs; 2 AI core skills; response rate 0.07.
CAND_0000026,29,0.2138,Graphic Designer with 6.8 yrs; 2 AI core skills; response rate 0.59.
CAND_0000016,30,0.2136,Accountant with 5.3 yrs; 1 AI core skills; response rate 0.64.
CAND_0000033,31,0.2132,Graphic Designer with 8.6 yrs; 2 AI core skills; response rate 0.08.
CAND_0000024,32,0.2130,HR Manager with 7.5 yrs; 0 AI core skills; response rate 0.78.
CAND_0000045,33,0.2121,Project Manager with 12.2 yrs; 1 AI core skills; response rate 0.62.
CAND_0000002,34,0.2119,Operations Manager with 12.5 yrs; 2 AI core skills; response rate 0.29.
CAND_0000019,35,0.2119,Project Manager with 6.5 yrs; 0 AI core skills; response rate 0.34.
CAND_0000042,36,0.2116,HR Manager with 5.0 yrs; 0 AI core skills; response rate 0.58.
CAND_0000005,37,0.2115,Accountant with 11.0 yrs; 2 AI core skills; response rate 0.37.
CAND_0000036,38,0.2104,Project Manager with 11.3 yrs; 1 AI core skills; response rate 0.40.
CAND_0000020,39,0.2099,Mechanical Engineer with 6.3 yrs; 1 AI core skills; response rate 0.55.
CAND_0000008,40,0.2098,Operations Manager with 3.6 yrs; 1 AI core skills; response rate 0.42.
CAND_0000003,41,0.2083,Customer Support with 1.1 yrs; 1 AI core skills; response rate 0.46.
CAND_0000013,42,0.2082,Civil Engineer with 1.1 yrs; 2 AI core skills; response rate 0.28.
CAND_0000039,43,0.2076,Marketing Manager with 3.9 yrs; 1 AI core skills; response rate 0.52.
CAND_0000028,44,0.2065,Operations Manager with 1.1 yrs; 1 AI core skills; response rate 0.14.
CAND_0000004,45,0.2062,Marketing Manager with 3.8 yrs; 2 AI core skills; response rate 0.26.
CAND_0000009,46,0.2061,Mechanical Engineer with 11.0 yrs; 1 AI core skills; response rate 0.53.
CAND_0000017,47,0.2059,Accountant with 12.3 yrs; 0 AI core skills; response rate 0.27.
CAND_0000047,48,0.2055,Project Manager with 2.4 yrs; 1 AI core skills; response rate 0.39.
CAND_0000040,49,0.2050,Customer Support with 1.6 yrs; 3 AI core skills; response rate 0.46.
CAND_0000012,50,0.2000,Operations Manager with 1.1 yrs; 2 AI core skills; response rate 0.16.
