candidate_id,rank,score,reasoning
CAND_0000031,1,0.9900,Recommendation Systems Engineer with 6.0 yrs; 13 AI core skills; response rate 0.91.
CAND_0000043,2,0.3633,Cloud Engineer with 8.3 yrs; 11 AI core skills; response rate 0.04.
CAND_0000001,3,0.3614,Backend Engineer with 6.9 yrs; 12 AI core skills; response rate 0.34.
CAND_0000027,4,0.3104,DevOps Engineer with 3.9 yrs; 5 AI core skills; response rate 0.58.
CAND_0000011,5,0.3086,QA Engineer with 2.0 yrs; 2 AI core skills; response rate 0.56.
CAND_0000044,6,0.2954,Frontend Engineer with 5.7 yrs; 3 AI core skills; response rate 0.66.
CAND_0000025,7,0.2684,Frontend Engineer with 7.3 yrs; 2 AI core skills; response rate 0.74.
CAND_0000035,8,0.2538,Full Stack Developer with 4.3 yrs; 6 AI core skills; response rate 0.34.
CAND_0000010,9,0.2515,Data Engineer with 4.6 yrs; 6 AI core skills; response rate 0.40.
CAND_0000038,10,0.2471,Java Developer with 6.7 yrs; 2 AI core skills; response rate 0.20.
CAND_0000014,11,0.2448,Frontend Engineer with 8.4 yrs; 4 AI core skills; response rate 0.80.
CAND_0000032,12,0.2437,.NET Developer with 8.1 yrs; 4 AI core skills; response rate 0.69.
CAND_0000015,13,0.2311,Software Engineer with 5.4 yrs; 4 AI core skills; response rate 0.32.
CAND_0000023,14,0.2170,Software Engineer with 3.7 yrs; 0 AI core skills; response rate 0.57.
CAND_0000019,15,0.2116,Project Manager with 6.5 yrs; 0 AI core skills; response rate 0.34.
CAND_0000037,16,0.2111,Business Analyst with 14.3 yrs; 3 AI core skills; response rate 0.78.
CAND_0000018,17,0.2078,Frontend Engineer with 6.6 yrs; 0 AI core skills; response rate 0.16.
CAND_0000013,18,0.2074,Civil Engineer with 1.1 yrs; 2 AI core skills; response rate 0.28.
CAND_0000007,19,0.2071,Civil Engineer with 5.5 yrs; 2 AI core skills; response rate 0.62.
CAND_0000047,20,0.2070,Project Manager with 2.4 yrs; 1 AI core skills; response rate 0.39.
CAND_0000050,21,0.2070,Business Analyst with 13.5 yrs; 2 AI core skills; response rate 0.42.
CAND_0000036,22,0.2063,Project Manager with 11.3 yrs; 1 AI core skills; response rate 0.40.
CAND_0000020,23,0.2056,Mechanical Engineer with 6.3 yrs; 1 AI core skills; response rate 0.55.
CAND_0000048,24,0.2055,Mobile Developer with 9.7 yrs; 0 AI core skills; response rate 0.65.
CAND_0000005,25,0.2051,Accountant with 11.0 yrs; 2 AI core skills; response rate 0.37.
CAND_0000008,26,0.2045,Operations Manager with 3.6 yrs; 1 AI core skills; response rate 0.42.
CAND_0000004,27,0.2039,Marketing Manager with 3.8 yrs; 2 AI core skills; response rate 0.26.
CAND_0000021,28,0.2036,Project Manager with 14.5 yrs; 8 AI core skills; response rate 0.49.
CAND_0000016,29,0.2035,Accountant with 5.3 yrs; 1 AI core skills; response rate 0.64.
CAND_0000024,30,0.2035,HR Manager with 7.5 yrs; 0 AI core skills; response rate 0.78.
CAND_0000034,31,0.2035,Business Analyst with 14.5 yrs; 0 AI core skills; response rate 0.15.
CAND_0000012,32,0.2033,Operations Manager with 1.1 yrs; 2 AI core skills; response rate 0.16.
CAND_0000029,33,0.2033,Business Analyst with 7.2 yrs; 0 AI core skills; response rate 0.12.
CAND_0000026,34,0.2031,Graphic Designer with 6.8 yrs; 2 AI core skills; response rate 0.59.
CAND_0000006,35,0.2029,Business Analyst with 6.0 yrs; 1 AI core skills; response rate 0.12.
CAND_0000017,36,0.2027,Accountant with 12.3 yrs; 0 AI core skills; response rate 0.27.
CAND_0000033,37,0.2026,Graphic Designer with 8.6 yrs; 2 AI core skills; response rate 0.08.
CAND_0000046,38,0.2025,Mechanical Engineer with 7.8 yrs; 0 AI core skills; response rate 0.41.
CAND_0000049,39,0.2025,Mechanical Engineer with 11.8 yrs; 1 AI core skills; response rate 0.59.
CAND_0000022,40,0.2024,Mechanical Engineer with 1.1 yrs; 1 AI core skills; response rate 0.27.
CAND_0000039,41,0.2024,Marketing Manager with 3.9 yrs; 1 AI core skills; response rate 0.52.
CAND_0000028,42,0.2021,Operations Manager with 1.1 yrs; 1 AI core skills; response rate 0.14.
CAND_0000003,43,0.2019,Customer Support with 1.1 yrs; 1 AI core skills; response rate 0.46.
CAND_0000042,44,0.2017,HR Manager with 5.0 yrs; 0 AI core skills; response rate 0.58.
CAND_0000041,45,0.2015,Operations Manager with 13.7 yrs; 2 AI core skills; response rate 0.07.
CAND_0000030,46,0.2011,Marketing Manager with 10.0 yrs; 1 AI core skills; response rate 0.66.
CAND_0000045,47,0.2009,Project Manager with 12.2 yrs; 1 AI core skills; response rate 0.62.
CAND_0000040,48,0.2006,Customer Support with 1.6 yrs; 3 AI core skills; response rate 0.46.
CAND_0000009,49,0.2005,Mechanical Engineer with 11.0 yrs; 1 AI core skills; response rate 0.53.
CAND_0000002,50,0.2000,Operations Manager with 12.5 yrs; 2 AI core skills; response rate 0.29.
